date,EPBR,EPRO,EPWHI,EPWHO,EBBR,EBRO,EBWHI,EBWHO,ET,PPBR,PPRO,PPWHI,PPWHO,PBBR,PBRO,PBWHI,PBWHO,PT
2016-03,299782.7,263195.0,3974118.9,453636.3,488359.0,2846195.7,8030982.6,1230557.0,620110022.7,220855.7,313044.1,5280008.3,512601.6,280850.6,7401262.5,6354951.3,926326.3,353043045.2
2016-04,350062.9,221216.2,4146672.2,541047.6,541653.2,2972664.5,7860747.4,1326958.7,592779527.3,240959.3,272076.5,5402996.9,603904.7,273394.1,7181895.6,6298224.6,976839.9,340748686.7
2016-05,360776.9,304461.0,4278691.5,578759.6,654979.1,2853037.2,7964182.7,1374397.2,620839331.1,260337.7,357199.4,5857590.5,652024.6,324850.1,7010929.0,6273516.1,1028589.9,351220393.2
2016-06,332877.2,288747.1,4531435.8,449899.0,418825.5,2580831.5,7675928.6,1283811.8,609751218.3,243064.5,347084.7,6166081.3,525991.8,231570.6,6244006.5,5950734.4,941805.0,338341356.6
2016-07,336331.9,214477.3,4474907.5,482241.9,437366.6,2392552.9,7485373.8,1177197.6,591186623.9,220820.2,249468.2,5788809.5,545450.0,237503.4,5907122.9,5796199.1,864416.9,333318646.2
2016-08,401796.6,309765.0,4370781.5,418479.9,425497.5,2735957.5,8106188.5,1276223.0,597649715.5,292270.7,310872.2,5731446.4,505832.7,231227.5,6951618.7,6363007.5,941631.1,338949169.7
2016-09,276040.0,226652.6,4158158.0,506359.9,436678.6,2505175.6,8158111.4,1340432.3,598037292.9,179286.5,246775.8,5485748.9,614150.6,246467.1,7093543.3,6333710.0,991101.2,339603931.2
2016-10,368510.2,312119.7,3961314.0,443185.7,489311.1,2252045.8,7703982.3,1321893.6,584834939.2,252971.2,324878.9,5136977.4,538196.7,259890.3,7083017.8,5951576.6,932169.9,330876279.8
2016-11,412503.3,284822.0,4286204.1,534276.6,505161.7,2264224.0,8272016.3,1239734.8,627670547.8,269825.0,310897.6,5562769.1,615119.7,259456.9,7053705.8,6239761.3,901732.4,351332370.9
2016-12,430731.3,278315.3,4223394.7,552113.7,501014.3,2079868.1,8215387.4,1131403.0,660031858.2,286473.6,298525.6,5344189.0,621684.5,253907.7,6501965.5,6264828.7,799999.7,354015756.0
2016-13,441075.3,274806.7,4612309.6,457625.3,490921.7,1624317.0,8909758.3,1188668.2,769944246.9,282878.8,442177.2,5563891.2,504463.8,261001.3,5136100.3,6688444.0,853416.9,371721706.2
2017-01,425389.3,363832.2,4327914.0,555819.5,588721.0,2187912.2,9172663.4,1440533.9,643121564.1,289300.6,383110.6,5385596.4,621107.2,303032.6,6727270.1,6877585.6,993153.6,365968189.0
2017-02,475528.5,271489.0,4484467.1,693807.8,704013.5,2233299.7,9121211.6,1380692.7,665734735.2,314266.3,289796.9,5472113.0,739753.8,354247.8,6865210.8,6889590.6,923648.8,379347417.7
2017-03,465058.6,231380.1,4525165.1,611430.5,646834.0,2097916.6,9036076.3,1233890.8,670738099.5,304096.7,260288.9,5491869.1,652434.1,317031.7,6799776.3,6784432.3,814164.6,374318328.8
2017-04,441876.9,356200.2,4568202.7,558671.7,628889.2,2238586.1,9033667.0,1223935.2,696327794.0,297748.9,401348.1,5582865.0,603795.3,310342.9,7448241.0,6709243.6,797895.9,389946160.1
2017-05,346637.7,268221.2,4751834.5,598267.3,564034.9,2524845.7,8163861.7,1212797.8,669145052.0,247482.7,289715.5,5818921.2,637190.6,280593.4,7772065.5,6183537.9,789266.7,369810895.0
2017-06,512346.3,308417.8,4884225.6,447763.4,525423.4,2491106.9,8846674.4,1462395.3,683872238.8,346807.1,319237.2,6107663.7,501846.2,280846.7,7930343.2,6632149.1,955818.0,375893408.5
2017-07,489520.4,294616.8,4877485.6,641258.7,477541.2,2428160.4,8500611.9,1403921.3,664063084.6,332816.4,330231.3,5931413.8,682258.9,245218.9,8195771.0,6260669.7,913897.0,367143046.8
2017-08,425421.5,297776.3,4869905.2,596291.0,564004.8,2448238.7,8109703.5,1306940.8,666201129.5,304480.2,317586.1,6001641.1,658782.3,290226.7,8247158.2,6075632.3,837541.1,368526517.7
2017-09,466030.7,282680.5,5106874.0,585697.7,608274.5,2549200.4,8366025.3,1285407.3,665190210.0,313335.5,316524.4,6214367.5,635032.8,303722.3,8533329.9,6184705.7,779364.8,373697351.2
2017-10,449485.0,282997.2,4979253.8,592884.0,510300.7,2109553.3,8188172.1,1398919.9,666080009.1,303475.4,309324.8,6140321.1,622917.1,243721.4,6928718.6,6088008.2,861758.2,364180739.9
2017-11,439269.1,311056.5,5102005.5,672398.0,546318.9,2462334.7,8178077.4,1281369.5,706194418.8,295274.3,351765.7,6142037.0,708976.3,288132.6,7798452.3,6003518.9,799452.4,379261885.0
2017-12,565244.7,271527.7,4792933.4,695601.2,490668.4,2544344.4,8618073.1,1274360.4,739574107.7,359908.5,300342.0,5850569.6,728895.6,232849.3,8210064.7,6209358.6,768162.1,380099877.0
2017-13,412096.9,351282.8,5302342.1,685195.7,495871.1,2066584.8,9495814.5,1328519.1,851420012.0,275758.7,314888.5,6358140.0,728210.3,251707.4,7085158.7,6899943.9,779454.6,403242843.9
2018-01,552888.1,245029.3,5104772.5,712535.1,531020.6,2644256.0,8557477.0,1397393.4,663641743.0,374825.3,292281.4,6251229.5,768972.1,262122.8,8482704.2,6203622.6,848653.3,363657982.5
2018-02,515943.2,328540.6,5092225.0,730341.9,637572.7,2000288.8,9047332.0,1316866.9,678423484.3,328632.8,347496.2,6222943.6,789272.4,314655.8,7145934.0,6676044.1,797479.5,378278406.1
2018-03,498057.3,314459.9,5237356.4,729763.5,661252.6,2097020.1,8935632.7,1111810.9,696871999.0,335318.7,328065.5,6442847.4,756179.2,325170.9,7410614.0,6510027.4,705660.4,382760460.9
2018-04,521904.3,234303.0,5493438.1,789179.9,647231.5,2210017.9,8593606.0,1141509.0,701580610.2,334964.1,259641.9,6488289.8,798768.8,312413.6,7698324.3,6229249.5,682713.0,382038359.4
2018-05,492814.4,229260.4,5566640.2,668035.9,691177.4,2305521.0,8181154.7,1351486.4,696480975.5,354600.1,261277.1,6541827.0,728791.8,328277.6,7764351.1,5959527.1,783265.0,372442781.5
2018-06,561325.5,217457.6,5779863.1,674184.3,733732.5,2143523.7,8895201.4,1195889.1,705823551.1,343346.4,254884.7,6943177.4,706552.4,369974.5,7282719.2,6459782.2,693231.6,378517121.5
2018-07,509269.6,284602.8,5329857.3,707474.5,644865.5,2445178.7,8001074.1,1360792.2,681323240.7,322828.1,297460.4,6405055.7,762309.2,311663.9,8422711.0,5848016.7,807071.0,368367076.5
